,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test
2,PCP_AAfreq_Cys,mean,esm1v_650M,3,1131,0.9050428439840796,0.0036915652908807,0.004957411308307,0.896793701763201,0.9000374581092792,0.0039571914834385,0.0054224337631047,0.8816053462805451
3,PCP_AAfreq_Cys,mean,esm1v_650M,4,1122,0.9085857494284354,0.0037289810151833,0.005010860358668,0.8959230972392905,0.8825195768676198,0.0038906724131588,0.0052024185065013,0.876549109036747
4,PCP_AAfreq_Cys,mean,esm1v_650M,5,1122,0.9048344868669368,0.0036746245279895,0.0049624492829291,0.8967980371954771,0.9012251520646898,0.0039848075669722,0.0053911112282279,0.8820537280774235
0,PCP_Isoelectric_point,mean,esm1v_650M,1,1022,0.8026897754643028,0.5934642709445562,0.7611622745394486,0.9086005083099006,0.7803956312927385,0.6195804972830634,0.7986660799539007,0.90519947946126
1,PCP_Isoelectric_point,mean,esm1v_650M,2,1047,0.80391702229779,0.5900553593374362,0.7563572286198653,0.9109071940848398,0.7745696309045719,0.6378567903793035,0.8196517696147138,0.8980552906691981
2,PCP_Isoelectric_point,mean,esm1v_650M,3,979,0.801528269580698,0.5961132134187059,0.7630453267960553,0.9090631516613094,0.7800863923669779,0.6239411786766126,0.8006631623652839,0.902199039890667
3,PCP_Isoelectric_point,mean,esm1v_650M,4,995,0.8024596623214827,0.5917907514195775,0.7596190701997731,0.9108389413701812,0.7781424142690037,0.6323298536366061,0.8111509167136604,0.8924336495915646
4,PCP_Isoelectric_point,mean,esm1v_650M,5,1000,0.802899117088017,0.5941618765122885,0.7614619945719904,0.9100885709908904,0.7747430000083357,0.6304136963201181,0.8056811153891722,0.8913569361118103
0,PCP_Isoelectric_point,mean,esm2_8M,1,287,0.7994598471746174,0.5959821863608393,0.7673670209035395,0.9106910353889464,0.7910053898084113,0.6025213384309512,0.7791342487953296,0.9077709231886492
1,PCP_Isoelectric_point,mean,esm2_8M,2,288,0.7998376824041925,0.5938783956823458,0.7641844137216235,0.9123291583681222,0.7909577947149317,0.6072892381488338,0.7892964672073138,0.9085566553130614
2,PCP_Isoelectric_point,mean,esm2_8M,3,294,0.7991761366448656,0.5957715322993453,0.7675535197828125,0.9103676711196612,0.7934967026307017,0.6041557464657196,0.7758670195887721,0.913349473477128
3,PCP_Isoelectric_point,mean,esm2_8M,4,297,0.8007301316989666,0.5930096088937575,0.7629371806303458,0.9130668075328864,0.7871726394240981,0.6104670856665866,0.7944713703403653,0.9046617271430716
4,PCP_Isoelectric_point,mean,esm2_8M,5,288,0.7987193435233783,0.5970303567216292,0.7694935207218029,0.9114880978902086,0.7937213630345059,0.6029819501770296,0.7709942920326109,0.9052704902538274
0,PCP_AAfreq_Leu,mean,esm2_8M,1,301,0.9273081668653468,0.0059019373695182,0.0078016641110322,0.9587814485718552,0.9155205499789448,0.0062618958928061,0.0083780912272583,0.9515372450917944
1,PCP_AAfreq_Leu,mean,esm2_8M,2,294,0.9256637975433418,0.0059714707369564,0.0078924088894295,0.957315058688107,0.9234525961984742,0.0060489184256695,0.0079614393589558,0.95646953735202
2,PCP_AAfreq_Leu,mean,esm2_8M,3,293,0.9258754261214044,0.005956292064072,0.0078643529952053,0.9575216449912158,0.923019804802122,0.0060184502857294,0.0080527918320399,0.9568411339634731
3,PCP_AAfreq_Leu,mean,esm2_8M,4,303,0.9258852057115304,0.0059890219963037,0.0079085372029923,0.95805407382939,0.9229920550221962,0.0059469273234793,0.0078703390383537,0.9539753361307606
4,PCP_AAfreq_Leu,mean,esm2_8M,5,299,0.9255409041056136,0.0059435338093879,0.0078454410379144,0.95706514635181,0.924238073412246,0.0060980869061291,0.008135309234963,0.9589833835137908
0,PCP_mW_kDa,mean,esm2_8M,1,302,0.798586735933433,5.142175760497454,7.348437840764872,0.9328685126548908,0.7839382944703238,5.234776459332553,7.576649856345426,0.928785877634507
1,PCP_mW_kDa,mean,esm2_8M,2,303,0.7974340536955886,5.196923087792379,7.416339269790469,0.93141383072623,0.7920067571092269,5.134972356549876,7.236298526760991,0.9315368477022
2,PCP_mW_kDa,mean,esm2_8M,3,303,0.7977199034491402,5.142553727686958,7.364786796228532,0.9323864030362208,0.7911780478677883,5.2696918754914925,7.445522415487423,0.9277929006773804
3,PCP_mW_kDa,mean,esm2_8M,4,298,0.7970631698351349,5.133844962071725,7.357041186097402,0.9319149905238588,0.7927116358600788,5.253177178279834,7.495859197318119,0.9277162135047602
4,PCP_mW_kDa,mean,esm2_8M,5,298,0.7990545814569743,5.1050438797790125,7.27797054042157,0.932312799083082,0.7844729546455582,5.30021472364092,7.816641951013504,0.92913247510563
0,SS_E,mean,esm2_8M,1,283,0.8384470880336363,0.0428097211132869,0.0606544164464359,0.917038631170095,0.8245644315631162,0.043847328521479,0.0624105699701427,0.9080954858170917
1,SS_E,mean,esm2_8M,2,282,0.8370952124588046,0.0431427138706698,0.0608816397365234,0.91580615571039,0.8313212484659656,0.0429352018037693,0.0613022699029839,0.9127299312973094
2,SS_E,mean,esm2_8M,3,290,0.8376519269792612,0.0427380152403323,0.0605871072901001,0.9162244518391356,0.8291081323373292,0.0446650731538663,0.0624883691179004,0.9113870300083072
3,SS_E,mean,esm2_8M,4,287,0.8364112555443077,0.0429498332406995,0.0608176776924393,0.9154390876376176,0.8341738079546008,0.0438378951828848,0.0615572541762987,0.9147495660127128
4,SS_E,mean,esm2_8M,5,289,0.8346848002303048,0.0431610900571956,0.0610503149736858,0.9145326061555412,0.8403000626670081,0.0428550976912742,0.0607490757918774,0.919495561697536
0,PCP_length,mean,esm2_8M,1,301,0.7990088432634253,46.24841390860243,66.12091863366,0.9338765997200348,0.7829862055293971,47.05438558855318,68.30625535544533,0.9297940589092804
1,PCP_length,mean,esm2_8M,2,299,0.7975967716639504,46.75976745296147,66.77827326657078,0.9324214448660438,0.7925601004017817,46.17588472808515,64.98980724903917,0.932821345662942
2,PCP_length,mean,esm2_8M,3,299,0.7977988741914204,46.26872466159119,66.3180222230108,0.9334100255433468,0.7918494552696568,47.3071291102709,66.89446196984646,0.9287232138615156
3,PCP_length,mean,esm2_8M,4,296,0.7973651016995331,46.14989236153378,66.18093796151575,0.9329347386321344,0.7925511041770787,47.30030233396753,67.6079789586684,0.9288687822188196
4,PCP_length,mean,esm2_8M,5,303,0.79930743892456,45.890586147180834,65.46821180694889,0.9334103620280486,0.7845666376852504,47.72750232557503,70.48939342678393,0.9300868082643164
0,PCP_Charge,mean,esm2_8M,1,304,0.7776681211295258,2.5638695236647826,3.692975058258424,0.9180073177935928,0.7719058727666808,2.6457992145504603,3.787600641232596,0.9163102077977364
1,PCP_Charge,mean,esm2_8M,2,303,0.7795058211880904,2.575584076674097,3.6832623561449247,0.9181239701828412,0.7674746688410851,2.62054605219522,3.801986567473972,0.9150419790475356
2,PCP_Charge,mean,esm2_8M,3,304,0.7787457581614942,2.58059419852895,3.694474446549178,0.9173494609113286,0.7695904193620753,2.5998974893379496,3.764283062185142,0.9173368453536548
3,PCP_Charge,mean,esm2_8M,4,302,0.7796699647356867,2.5630445810307303,3.682477572925659,0.9189241509788818,0.7654610950294255,2.655146067277712,3.815953162110284,0.9117571152516328
4,PCP_Charge,mean,esm2_8M,5,304,0.778183572310754,2.579324685871434,3.713403095663498,0.9182910984152614,0.7720871242742724,2.595444191990676,3.684378907686856,0.911886888523055
0,SS_Coil,mean,esm2_8M,1,286,0.5442969225358978,0.0288543430904571,0.0424172094824919,0.7167906730945152,0.5544709088149813,0.0287558734354523,0.0394896364692145,0.7081455955634498
1,SS_Coil,mean,esm2_8M,2,288,0.5479925912195553,0.0286494651271378,0.0419421898641677,0.7202565651964389,0.5393946022552729,0.0291215644347949,0.0414263383787626,0.70254047893613
2,SS_Coil,mean,esm2_8M,3,287,0.554480283898219,0.0283470314221325,0.041027559691191,0.7202150728947797,0.5160682402450782,0.0299233080263482,0.0449772157410627,0.7120434777662104
3,SS_Coil,mean,esm2_8M,4,289,0.5537858824502129,0.0287803580612344,0.0416668300456419,0.7183882788341625,0.5122124521813081,0.0284600192068912,0.0426533833125231,0.7150020079857965
4,SS_Coil,mean,esm2_8M,5,286,0.5469396244974724,0.0284566383408391,0.0414056282003466,0.7200665505841009,0.5399665593046743,0.0292590366504102,0.0437199333784577,0.7142712824298041
0,PCP_AAfreq_Cys,mean,esm2_8M,1,287,0.8774624250193204,0.0041617046260554,0.0057035696631625,0.8700178879188077,0.8692506066191283,0.0042959211728875,0.0059140536537573,0.8656550932340209
1,PCP_AAfreq_Cys,mean,esm2_8M,2,293,0.8791450657559793,0.0041766882515926,0.005729918917159,0.8688527617901821,0.8621115871286897,0.0042661041118755,0.0057856030966839,0.8672288894223271
2,PCP_AAfreq_Cys,mean,esm2_8M,3,296,0.8752071795072872,0.0041701338470093,0.0056831079287776,0.8707938369069089,0.8788883600920223,0.0042609057290401,0.0059685460983662,0.8647042792760896
3,PCP_AAfreq_Cys,mean,esm2_8M,4,297,0.878811484168925,0.0042122328259327,0.0057694721581206,0.869727810800468,0.8628167363014687,0.004167679293721,0.005621770345565,0.8578211909878026
4,PCP_AAfreq_Cys,mean,esm2_8M,5,297,0.874462405785423,0.0041586521038972,0.0056995843488109,0.8699926406779785,0.87994849483421,0.0042595252250481,0.0059434540856671,0.8690159844765095
0,PCP_Instability_index,mean,esm2_8M,1,302,0.5259845076817034,5.804824903198992,7.567630205561107,0.6966886289142235,0.483038931784256,6.077189369604766,8.0112588207007,0.6864984873700184
1,PCP_Instability_index,mean,esm2_8M,2,297,0.5186258342936283,5.831364320942573,7.623441417342752,0.6973186430979198,0.512316970374892,5.9813375338434485,7.790955992208516,0.6837918167813579
2,PCP_Instability_index,mean,esm2_8M,3,293,0.5170494965398064,5.84003959712937,7.631264342903727,0.6948686497888149,0.5170164171408917,5.935558123100105,7.772428763343634,0.6945348323853676
3,PCP_Instability_index,mean,esm2_8M,4,300,0.5173829161798023,5.859395979983503,7.647440508035226,0.6948467940722218,0.5157020835620075,5.873498725504461,7.707189008735097,0.6896342102161852
4,PCP_Instability_index,mean,esm2_8M,5,292,0.5245516313570422,5.873453704775061,7.681517780805725,0.6999941593088096,0.4834164883131006,5.842497636837411,7.5723457044743325,0.6695647970598867
0,PCP_Hydrophobicity,mean,esm2_8M,1,288,0.9322646952745878,0.0567201466400458,0.0748687148841551,0.957476645812684,0.929120137782066,0.0568411560790765,0.0762638653494885,0.954659397115433
1,PCP_Hydrophobicity,mean,esm2_8M,2,288,0.9321831925026444,0.0564677192871355,0.0749423867217749,0.9574904913075346,0.9293903533446491,0.0572592778327953,0.075970975808802,0.9552214233084112
2,PCP_Hydrophobicity,mean,esm2_8M,3,299,0.9333834795010714,0.0562874499710824,0.0744998176130952,0.9580342368172496,0.92435238782962,0.0581277494947792,0.0776650585793757,0.953279936812466
3,PCP_Hydrophobicity,mean,esm2_8M,4,289,0.9313026593279824,0.0565499252290439,0.075001162580261,0.956788890269892,0.9332901960882624,0.05714741005552,0.0755383534865703,0.9585966993827412
4,PCP_Hydrophobicity,mean,esm2_8M,5,293,0.9325755769096722,0.0562163440191928,0.0744892908689345,0.9573524176215918,0.9281266916135146,0.0582506267850142,0.0776509232850198,0.955707687900238
0,SS_H,mean,esm2_8M,1,286,0.8932009881246311,0.0463680485967329,0.0639798825384176,0.9289384662580744,0.8890302958138672,0.0467395509578449,0.0643729321755798,0.923121449804232
1,SS_H,mean,esm2_8M,2,283,0.8938170461972341,0.046271091866561,0.0637495412040083,0.928227259472374,0.88663301226372,0.0469791760009064,0.0652484502064031,0.9249525915031463
2,SS_H,mean,esm2_8M,3,284,0.8935578256119553,0.0460542502597176,0.0634764615480665,0.9279641104372636,0.8873423208573713,0.04789692044346,0.0664850943129584,0.9264032700695888
3,SS_H,mean,esm2_8M,4,283,0.8922042317068313,0.0465012161215179,0.0642634748255593,0.9281102966552032,0.8931978462044777,0.0462294888923139,0.063196818063512,0.9246755239597982
4,SS_H,mean,esm2_8M,5,283,0.8922003448060091,0.0461965303542492,0.063908578769801,0.9272656218373831,0.8925518160698906,0.0472011341883203,0.0648174184352571,0.9301558824338498
0,PCP_AAfreq_Ala,mean,esm2_8M,1,282,0.9499103913966812,0.006050561116724,0.0080855758143324,0.9744071071804704,0.9455210602609668,0.0062626171767523,0.0084199656032682,0.9727496783269924
1,PCP_AAfreq_Ala,mean,esm2_8M,2,288,0.9495265606709604,0.0060518926078777,0.0081126172431944,0.9743377549793536,0.9473253329485478,0.0062322739827635,0.0082971372891409,0.9730415709091754
2,PCP_AAfreq_Ala,mean,esm2_8M,3,282,0.9492619890789492,0.0060941434991004,0.0081431241653963,0.9742876753976168,0.9480377357808576,0.0061235482817342,0.0082024952765714,0.9728513691427164
3,PCP_AAfreq_Ala,mean,esm2_8M,4,286,0.9493479888008032,0.0060834490463132,0.0081338853508748,0.9739739408661876,0.9475496901312946,0.0061498694347881,0.0082511911660984,0.974112530110086
4,PCP_AAfreq_Ala,mean,esm2_8M,5,279,0.9497472021517656,0.0060673641229958,0.0080839832179881,0.9746103369173218,0.9462190094105732,0.00617057613011,0.008428119199684,0.9721986417989672
0,PCP_Hydrophobicity,mean,esm2_35M,1,430,0.9438489397344187,0.0525799209073568,0.0681666285353291,0.962753098654814,0.9386498271510934,0.0539620852218456,0.0709521036333402,0.9586149883563686
1,PCP_Hydrophobicity,mean,esm2_35M,2,431,0.9428357492841573,0.0530262925114152,0.0688051755304629,0.9617981914765624,0.9428141838734926,0.0524726446283668,0.0683690975496602,0.962409384192729
2,PCP_Hydrophobicity,mean,esm2_35M,3,428,0.9443024988136964,0.0523900332694067,0.0681211691018133,0.96295870878287,0.9372488459424032,0.0541861232820193,0.0707357431884789,0.9584721132678372
3,PCP_Hydrophobicity,mean,esm2_35M,4,432,0.943017501738486,0.0524955278005172,0.0683075605204505,0.9622308629290104,0.9419222279268664,0.0545542029108701,0.0704819086432108,0.9611695008356274
4,PCP_Hydrophobicity,mean,esm2_35M,5,423,0.943784216519834,0.0524094504998474,0.0680165115863883,0.962519769859284,0.9388542748271236,0.054763198980412,0.0716219029579997,0.9595323052123756
0,PCP_Charge,mean,esm2_35M,1,448,0.7663689670734328,2.648105823494428,3.785652710423226,0.907483546366453,0.7542313292011142,2.7784971985766567,3.931609628175354,0.8981907908096083
1,PCP_Charge,mean,esm2_35M,2,445,0.7650925604374581,2.669142661778506,3.801740556948045,0.9058790660779592,0.7607473233502826,2.7004738124125933,3.85659332250918,0.9059234121724332
2,PCP_Charge,mean,esm2_35M,3,443,0.7676247163226351,2.669835160060615,3.78618500095695,0.9063087217946264,0.7495753032976239,2.71153542034786,3.924375764829154,0.9014966442694948
3,PCP_Charge,mean,esm2_35M,4,445,0.7674758522246813,2.6529669459945358,3.783008257395443,0.9078925521751487,0.7514658738376633,2.7587611440453315,3.92815488885144,0.9004468548062327
4,PCP_Charge,mean,esm2_35M,5,449,0.7667597242785447,2.6634619194458136,3.807825297550622,0.90728119937784,0.7515826521968652,2.709042142522934,3.8465449980713418,0.9018164681035064
0,PCP_AAfreq_Ala,mean,esm2_35M,1,408,0.9642229766258416,0.0051862228831139,0.0068334376616709,0.9799098842306088,0.9599218194895482,0.0054596033635444,0.0072218754203328,0.977438195870914
1,PCP_AAfreq_Ala,mean,esm2_35M,2,411,0.9634017680946472,0.0052351059052326,0.0069081154827576,0.9793628359388284,0.962968650011762,0.0052982083345396,0.0069568421436255,0.979671635504464
2,PCP_AAfreq_Ala,mean,esm2_35M,3,409,0.9638311491708116,0.0052241168529878,0.0068753006363535,0.9798692857893868,0.9617958045032792,0.005275079372627,0.0070332731587233,0.9781137459009588
3,PCP_AAfreq_Ala,mean,esm2_35M,4,407,0.963873996926412,0.0052209242554144,0.0068692552887647,0.9795672504262553,0.961321973154042,0.0053465717526766,0.0070855697115233,0.97942610371741
4,PCP_AAfreq_Ala,mean,esm2_35M,5,412,0.9637316449598936,0.0052064576959617,0.0068676666910807,0.9798946946595362,0.961952506828685,0.0053706361423637,0.007088907255979,0.977703082613772
0,PCP_mW_kDa,mean,esm2_35M,1,430,0.8220796228659818,4.798333737318028,6.906592557808488,0.9445683251247656,0.7995181871994635,5.009965283992554,7.298368841990967,0.9386071676218845
1,PCP_mW_kDa,mean,esm2_35M,2,441,0.8196985343368365,4.86182074695922,6.996905347049776,0.9435351264724772,0.8108865114407416,4.796757009249966,6.900063935857303,0.9415716504988878
2,PCP_mW_kDa,mean,esm2_35M,3,434,0.8194548550464963,4.808830166068704,6.957873200573151,0.944215282849866,0.8122993328236631,4.966347873384181,7.058948410656942,0.9397440864727306
3,PCP_mW_kDa,mean,esm2_35M,4,443,0.8191572897806936,4.797447438681205,6.945016063396938,0.9442905682688044,0.8134542264689537,4.936136956933709,7.110934281938234,0.940444846599443
4,PCP_mW_kDa,mean,esm2_35M,5,438,0.819697353809667,4.774713169658957,6.894016034468976,0.9443854550693545,0.8097956840045295,4.982204286477832,7.343101228521082,0.9431070128653808
0,PCP_Isoelectric_point,mean,esm2_35M,1,450,0.7849687378061366,0.6168438473276364,0.7946086014925596,0.9001276133111586,0.7699354461013413,0.6316812332586041,0.8174658298924674,0.8983769806335528
